Department  ,Division,Position Title,Employee Status,Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,12/04/2021,12/04/2021,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,07/02/2012,07/08/2013,Nonexempt,30.63
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,05/21/2022,05/21/2022,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,12/04/2021,12/04/2021,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,08/23/2013,08/23/2013,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,02/25/2023,02/25/2023,Nonexempt,23.78
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,07/08/2014,01/14/2023,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,08/23/1998,09/28/2019,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Captain),State Comp Board Retirement,02/23/1998,06/23/2007,Exempt,103577.00
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Captain),State Comp Board Retirement,07/23/2011,06/01/2019,Exempt,91602.00
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,08/01/1995,05/15/1996,Nonexempt,38.18
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,06/23/2018,06/23/2018,Nonexempt,24.98
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,06/08/2013,06/08/2013,Nonexempt,34.52
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,05/08/1999,05/08/1999,Nonexempt,42.59
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,07/21/2018,07/21/2018,Nonexempt,24.98
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,05/08/2008,10/12/2017,Nonexempt,29.02
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,05/21/2015,05/21/2015,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,07/08/2008,07/08/2008,Nonexempt,38.61
Sheriff and Jail,Judicial - Sheriff and Jail,Records Clerk,State Comp Board Retirement,07/08/2015,07/08/2015,Nonexempt,21.52
Sheriff and Jail,Judicial - Sheriff and Jail,Civilian Court Security,Constitutional OfficePart-time,09/01/1988,05/08/2010,Nonexempt,23.54
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,01/18/2020,01/18/2020,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,11/23/2008,11/23/2008,Nonexempt,31.40
Sheriff and Jail,Judicial - Sheriff and Jail,Assist Procurement Specialist,State Comp Board Retirement,02/23/1988,01/04/2021,Nonexempt,25.27
Sheriff and Jail,Judicial - Sheriff and Jail,Records Clerk,State Comp Board Retirement,01/23/2006,01/23/2006,Nonexempt,26.20
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,05/06/1996,10/08/2022,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,04/08/2015,04/08/2015,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,04/20/2024,04/20/2024,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Public Relations Assistant-SC,State Comp Board Retirement,01/08/2016,01/08/2016,Nonexempt,26.43
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,07/08/2003,07/08/2003,Nonexempt,32.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,11/19/2022,11/19/2022,Nonexempt,23.78
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,08/18/2018,08/18/2018,Nonexempt,24.98
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,05/15/2006,05/12/2015,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,07/23/2014,07/23/2014,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Captain),State Comp Board Retirement,11/20/2000,08/23/2009,Exempt,87250.00
Sheriff and Jail,Judicial - Sheriff and Jail,Secretary II,State Comp Board Retirement,04/23/1997,08/01/1997,Nonexempt,26.18
Sheriff and Jail,Judicial - Sheriff and Jail,Maintenance Mechanic - SC,State Comp Board Retirement,04/23/2009,04/23/2009,Nonexempt,26.18
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,10/30/2021,10/30/2021,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,07/08/1994,01/23/1997,Nonexempt,44.72
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Captain),State Comp Board Retirement,03/08/2000,03/08/2000,Exempt,103577.00
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,07/16/2022,07/16/2022,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,01/08/2004,01/08/2004,Nonexempt,32.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,04/08/2023,04/08/2023,Nonexempt,24.98
Sheriff and Jail,Judicial - Sheriff and Jail,Inmate Classif Specialist,State Comp Board Retirement,07/24/1995,05/15/1996,Nonexempt,30.31
Sheriff and Jail,Judicial - Sheriff and Jail,Records Clerk,State Comp Board Retirement,11/08/2014,11/08/2014,Nonexempt,21.52
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,05/08/2012,03/09/2017,Nonexempt,30.53
Sheriff and Jail,Judicial - Sheriff and Jail,Civilian Court Security,Constitutional OfficePart-time,03/04/1980,08/26/2023,Nonexempt,19.95
Sheriff and Jail,Judicial - Sheriff and Jail,Fiscal Manager - SC,State Comp Board Retirement,10/12/1971,08/02/2004,Exempt,83010.59
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,08/23/1998,09/28/2019,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,08/08/2006,08/08/2006,Nonexempt,31.40
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,10/13/2018,10/13/2018,Nonexempt,29.88
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,11/19/2022,11/19/2022,Nonexempt,23.78
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,05/23/1996,08/26/2023,Nonexempt,28.23
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Lieut Col),State Comp Board Retirement,09/29/2003,11/28/2005,Exempt,113702.00
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,08/08/2011,08/08/2011,Nonexempt,30.63
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,01/16/2021,01/16/2021,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,11/19/2022,11/19/2022,Nonexempt,23.78
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,05/08/2012,05/08/2012,Nonexempt,34.52
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Captain),State Comp Board Retirement,01/08/2004,01/08/2004,Exempt,101051.00
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,03/12/2022,03/12/2022,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,12/09/2017,12/09/2017,Nonexempt,26.31
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,12/08/2014,12/08/2014,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,09/28/2019,09/28/2019,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,08/23/2002,08/23/2002,Nonexempt,32.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,05/11/2012,07/08/2013,Nonexempt,31.29
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,08/23/2015,08/23/2015,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,12/04/2021,12/04/2021,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,11/08/2015,11/08/2015,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,12/08/2000,12/08/2000,Nonexempt,37.15
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,11/08/2016,11/08/2016,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,09/23/2023,09/23/2023,Nonexempt,23.20
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,06/23/2018,06/23/2018,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,09/08/2015,09/08/2015,Nonexempt,30.53
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,Constitutional OfficePart-time,09/08/2000,12/02/2023,Nonexempt,23.78
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,06/21/2017,12/02/2023,Nonexempt,23.20
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,04/13/2019,04/13/2019,Nonexempt,24.98
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,03/12/2022,03/12/2022,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,03/12/2022,03/12/2022,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Captain),State Comp Board Retirement,10/13/2018,01/18/2020,Exempt,108756.00
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,11/27/2006,11/27/2006,Nonexempt,31.40
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,11/08/2002,01/19/2019,Nonexempt,31.23
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,05/08/2005,05/08/2005,Nonexempt,37.15
Sheriff and Jail,Judicial - Sheriff and Jail,HR Administrator - SC,State Comp Board Retirement,09/03/2002,08/28/2021,Exempt,70747.43
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,07/23/2005,07/23/2005,Nonexempt,39.57
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,12/04/2021,12/04/2021,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,08/28/2021,08/28/2021,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,07/08/2015,07/08/2015,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,07/02/2012,07/08/2013,Nonexempt,29.02
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,08/26/2023,09/23/2023,Nonexempt,23.20
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,05/08/2016,05/08/2016,Nonexempt,28.46
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,08/23/2016,08/23/2016,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Lieut Col),State Comp Board Retirement,11/13/1993,05/15/1996,Exempt,116544.00
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Recruit),State Comp Board Retirement,01/27/2024,01/27/2024,Nonexempt,21.63
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,02/25/2023,02/25/2023,Nonexempt,23.78
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,09/25/2021,09/25/2021,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,09/03/2002,01/08/2016,Nonexempt,31.29
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,09/29/2003,07/12/2006,Nonexempt,31.23
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,12/02/2023,12/02/2023,Nonexempt,24.98
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,01/16/1990,04/20/2024,Nonexempt,28.94
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,07/10/1995,04/08/2023,Nonexempt,28.94
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,06/05/1979,04/08/2023,Nonexempt,33.52
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,11/24/2018,11/24/2018,Nonexempt,24.98
Sheriff and Jail,Sheriff - InmateClassification,Inmate Classif Specialist,State Comp Board Retirement,05/20/2023,05/20/2023,Nonexempt,21.67
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,04/08/2015,04/08/2015,Nonexempt,29.88
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Recruit),State Comp Board Retirement,03/23/2024,03/23/2024,Nonexempt,21.63
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,06/23/2018,06/23/2018,Nonexempt,24.98
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,10/10/2020,04/23/2022,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,09/28/2019,09/28/2019,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,10/30/2021,10/30/2021,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,04/08/2008,04/08/2008,Nonexempt,31.40
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,10/13/2018,03/12/2022,Nonexempt,24.98
Sheriff and Jail,Judicial - Sheriff and Jail,Facilities Manager - SC,State Comp Board Retirement,11/23/2007,11/23/2007,Exempt,91124.00
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,05/23/2006,05/23/2006,Nonexempt,31.40
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Recruit),State Comp Board Retirement,03/23/2024,03/23/2024,Nonexempt,21.63
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,10/08/2010,10/08/2010,Nonexempt,30.63
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,10/08/2006,10/08/2006,Nonexempt,31.40
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,11/09/2005,11/09/2005,Nonexempt,32.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,04/20/2024,04/20/2024,Nonexempt,23.78
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,10/23/2004,10/23/2004,Nonexempt,37.15
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,01/22/2001,06/23/2010,Nonexempt,35.48
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Captain),State Comp Board Retirement,11/23/2004,11/23/2004,Exempt,101051.00
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Recruit),State Comp Board Retirement,04/20/2024,04/20/2024,Nonexempt,21.63
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,03/08/2000,03/08/2000,Nonexempt,35.48
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,01/23/2015,01/23/2015,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Assist Procurement Specialist,State Comp Board Retirement,12/23/2001,12/23/2001,Nonexempt,31.30
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,06/08/2013,06/08/2013,Nonexempt,26.96
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,08/26/2017,08/26/2017,Nonexempt,26.31
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,02/06/1989,07/06/2019,Nonexempt,26.89
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,07/02/2012,07/08/2013,Nonexempt,29.02
Sheriff and Jail,Judicial - Sheriff and Jail,HR Administrator - SC,State Comp Board Retirement,08/13/2022,08/13/2022,Exempt,93460.50
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,03/23/1999,03/23/1999,Nonexempt,35.48
Sheriff and Jail,Judicial - Sheriff and Jail,Records Clerk,State Comp Board Retirement,10/30/2021,10/30/2021,Nonexempt,19.56
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,10/19/1985,07/23/2011,Nonexempt,30.63
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,08/08/1998,07/23/2008,Nonexempt,44.72
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,04/08/2023,04/08/2023,Nonexempt,24.98
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,04/20/2024,04/20/2024,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,Sheriff - Full TIme,07/03/2021,04/23/2022,Nonexempt,24.37
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,07/08/2010,07/08/2010,Nonexempt,29.02
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,08/08/1997,08/08/1997,Nonexempt,42.59
